№ п/п,Марка,Модель,Объем двиг.,Год выпуска,Стоимость В ЕВРО
76,BMW,5-series,2000,2026,23000.0
77,BMW,5-series,2000,2025,22000.0
78,BMW,5-series,2000,2024,21000.0
79,BMW,5-series,3000,2026,28000.0
80,BMW,5-series,3000,2025,26000.0
81,BMW,5-series,3000,2024,24000.0
82,BMW,5-series M,4400,2026,42000.0
83,BMW,5-series M,4400,2025,40000.0
84,BMW,5-series M,4400,2024,38000.0
85,BMW,6-series,3000,2026,32700.0
86,BMW,6-series,3000,2025,28000.0
87,BMW,6-series,3000,2024,26000.0
88,BMW,6-series,2000,2026,27500.0
89,BMW,6-series,2000,2025,23000.0
90,BMW,6-series,2000,2024,22000.0
91,BMW,6-series D,3000,2026,33000.0
92,BMW,6-series D,3000,2025,28750.0
93,BMW,6-series D,3000,2024,26000.0
94,BMW,X3,2000,2026,22800.0
95,BMW,X3,2000,2025,16700.0
96,BMW,X3,2000,2024,15500.0
97,BMW,X3,3000,2026,33200.0
98,BMW,X3,3000,2025,26000.0
99,BMW,X3,3000,2024,25000.0
100,BMW,X4,2000,2026,24300.0
101,BMW,X4,2000,2025,22000.0
102,BMW,X4,2000,2024,21000.0
103,BMW,X4,3000,2026,33300.0
104,BMW,X4,3000,2025,30000.0
105,BMW,X4,3000,2024,28000.0
106,BMW,X4 D,2000,2026,23000.0
107,BMW,X4 D,2000,2025,22000.0
108,BMW,X4 D,2000,2024,21000.0
109,BMW,X4 D,3000,2026,33500.0
110,BMW,X4 D,3000,2025,30000.0
111,BMW,X4 D,3000,2024,28000.0
112,BMW,8-series,3000,2026,34000.0
113,BMW,8-series,3000,2025,32000.0
114,BMW,8-series,3000,2024,30000.0
115,BMW,8-series,4400,2026,42300.0
116,BMW,8-series,4400,2025,40000.0
117,BMW,8-series,4400,2024,38000.0
118,BMW,XM,3000,2026,41000.0
119,BMW,XM,3000,2025,40000.0
120,BMW,XM,3000,2024,38000.0
121,BMW,XM,4400,2026,42300.0
122,BMW,XM,4400,2025,40500.0
123,BMW,XM,4400,2024,39000.0
124,BMW,X5,2000,2026,23000.0
125,BMW,X5,2000,2025,22000.0
126,BMW,X5,2000,2024,21000.0
127,BMW,X5,3000,2026,34000.0
128,BMW,X5,3000,2025,33600.0
129,BMW,X5,3000,2024,32000.0
130,BMW,X5,4400,2026,42300.0
131,BMW,X5,4400,2025,40250.0
132,BMW,X5,4400,2024,38000.0
133,BMW,X6,2000,2026,32000.0
134,BMW,X6,2000,2025,26400.0
135,BMW,X6,2000,2024,25000.0
136,BMW,X6,3000,2026,34000.0
137,BMW,X6,3000,2025,33000.0
138,BMW,X6,3000,2024,31000.0
139,BMW,X6,4400,2026,42300.0
140,BMW,X6,4400,2025,41000.0
141,BMW,X6,4400,2024,39000.0
142,BMW,X7,3000,2026,34000.0
143,BMW,X7,3000,2025,33000.0
144,BMW,X7,3000,2024,32000.0
145,BMW,X7,4400,2026,42300.0
146,BMW,X7,4400,2025,41500.0
147,BMW,X7,4400,2024,39000.0
148,BMW,760,3000,2026,42300.0
149,BMW,760,3000,2025,41500.0
150,BMW,760,3000,2024,39000.0
151,BMW,760,4400,2026,42300.0
152,BMW,760,4400,2025,41500.0
153,BMW,760,4400,2024,39000.0
154,BMW,760,6600,2026,42300.0
155,BMW,760,6600,2025,41500.0
156,BMW,760,6600,2024,39000.0
157,BMW,740,3000,2026,41500.0
158,BMW,740,3000,2025,37000.0
159,BMW,740,3000,2024,35000.0
160,BMW,740D,3000,2026,41500.0
161,BMW,740D,3000,2025,37000.0
162,BMW,740D,3000,2024,35000.0
163,DENZA,"D9,N9,N8,N7",,2026,15000.0
164,DENZA,"D9,N9,N8,N7",,2025,15000.0
165,GAC,S8,1500,2025,12000.0
166,GAC,S9,1500,2025,12000.0
167,GENESIS,GV70,3500,2026,33000.0
168,GENESIS,GV70,3500,2025,31000.0
169,GENESIS,GV70,3500,2024,29000.0
170,GENESIS,G80,2200,2026,16700.0
171,GENESIS,GV80,3000,2026,33000.0
172,GENESIS,GV80,3000,2025,31000.0
173,GENESIS,GV80,3000,2024,29000.0
174,GENESIS,GV80,3500,2026,40150.0
175,GENESIS,GV80,3500,2025,38900.0
176,GENESIS,GV80,3500,2024,36000.0
177,GENESIS,G90,3500,2026,35400.0
178,GENESIS,G90,3500,2025,29700.0
179,GENESIS,G90,3500,2024,27000.0
180,GEELY,M9,1500,2026,12000.0
181,GEELY,M9,1500,2025,12000.0
182,GMC,SIERRA,6200,2026,42000.0
183,GMC,SIERRA,6200,2025,41000.0
184,GMC,SIERRA,6200,2024,40000.0
185,GMC,YUKON,5300,2026,42000.0
186,GMC,YUKON,5300,2025,41000.0
187,GMC,YUKON,5300,2024,40000.0
188,GMC,YUKON,6200,2026,42000.0
189,GMC,YUKON,6200,2025,41000.0
190,GMC,YUKON,6200,2024,40000.0
191,JEEP,WRANGLER RUBICON,2000,2026,23000.0
192,JEEP,WRANGLER RUBICON,2000,2025,21000.0
193,JEEP,WRANGLER RUBICON,2000,2024,19000.0
194,LAMBORGHINI,AVENTADOR,6500,2026,231150.0
195,LAMBORGHINI,AVENTADOR,6500,2025,169000.0
196,LAMBORGHINI,AVENTADOR,6500,2024,160000.0
197,LAMBORGHINI,REVUELTO,6500,2026,169000.0
198,LAMBORGHINI,REVUELTO,6500,2025,167000.0
199,LAMBORGHINI,REVUELTO,6500,2024,165000.0
200,LAMBORGHINI,HURACAN,5200,2026,84500.0
201,LAMBORGHINI,HURACAN,5200,2025,82500.0
202,LAMBORGHINI,HURACAN,5200,2024,81500.0
203,LAMBORGHINI,URUS,4000,2026,84500.0
204,LAMBORGHINI,URUS,4000,2025,82500.0
205,LAMBORGHINI,URUS,4000,2024,81500.0
206,LAND ROVER,DEFENDER,2000,2026,25000.0
207,LAND ROVER,DEFENDER,2000,2025,23000.0
208,LAND ROVER,DEFENDER,2000,2024,21000.0
209,LAND ROVER,DEFENDER,3000,2026,39000.0
210,LAND ROVER,DEFENDER,3000,2025,30000.0
211,LAND ROVER,DEFENDER,3000,2024,28000.0
212,LAND ROVER,DEFENDER,4400,2026,42300.0
213,LAND ROVER,DEFENDER,4400,2025,41500.0
214,LAND ROVER,DEFENDER,4400,2024,39000.0
215,LAND ROVER,DISCOVERY,3000,2026,30000.0
216,LAND ROVER,DISCOVERY,3000,2025,29800.0
217,LAND ROVER,DISCOVERY,3000,2024,27000.0
218,LAND ROVER,DISCOVERY SPORT,2000,2026,23550.0
219,LAND ROVER,DISCOVERY SPORT,2000,2025,16700.0
220,LAND ROVER,DISCOVERY SPORT,2000,2024,16000.0
221,LAND ROVER,VELAR,до 4100,2026,27000.0
222,LAND ROVER,VELAR,до 4100,2025,25200.0
223,LAND ROVER,VELAR,до 4100,2024,23200.0
224,LAND ROVER,EVOQUE,2000,2026,23000.0
225,LAND ROVER,EVOQUE,2000,2025,22000.0
226,LAND ROVER,EVOQUE,2000,2024,21000.0
227,LAND ROVER,RANGE ROVER,3000,2026,57290.0
228,LAND ROVER,RANGE ROVER,3000,2025,56250.0
229,LAND ROVER,RANGE ROVER,3000,2024,52000.0
230,LAND ROVER,RANGE ROVER,4400,2026,68750.0
231,LAND ROVER,RANGE ROVER,4400,2025,66750.0
232,LAND ROVER,RANGE ROVER,4400,2024,64000.0
233,LAND ROVER,RANGE ROVER,5000,2026,84000.0
234,LAND ROVER,RANGE ROVER,5000,2025,82000.0
235,LAND ROVER,RANGE ROVER,5000,2024,80000.0
236,LAND ROVER,RANGE ROVER SPORT,3000,2026,40000.0
237,LAND ROVER,RANGE ROVER SPORT,3000,2025,35000.0
238,LAND ROVER,RANGE ROVER SPORT,3000,2024,33000.0
239,LAND ROVER,RANGE ROVER SPORT,4400,2026,42300.0
240,LAND ROVER,RANGE ROVER SPORT,4400,2025,41500.0
241,LEOPARD,5,1500,2026,15000.0
242,LEOPARD,5,1500,2025,13000.0
243,LEOPARD,5,1500,2024,12000.0
244,LEOPARD,7,1500,2026,12000.0
245,LEOPARD,7,1500,2025,12000.0
246,LEOPARD,8,2000,2026,23000.0
247,LEOPARD,8,2000,2025,22000.0
248,LEOPARD,8,2000,2024,21000.0
249,LEXUS,ES 200,2000,2026,16700.0
250,LEXUS,ES 200,2000,2025,16500.0
251,LEXUS,ES 200,2000,2024,16000.0
252,LEXUS,ES 250,2500,2026,25500.0
253,LEXUS,ES 250,2500,2025,21700.0
254,LEXUS,ES 250,2500,2024,18000.0
255,LEXUS,ES 300,2500,2026,25500.0
256,LEXUS,ES 300,2500,2025,21700.0
257,LEXUS,ES 300,2500,2024,18000.0
258,LEXUS,IS 300,2000,2026,15160.0
259,LEXUS,IS 300,2000,2025,14600.0
260,LEXUS,IS 300,2000,2024,14600.0
261,LEXUS,LM 300,2500,2026,35122.0
262,LEXUS,LM 300,2500,2025,30500.0
263,LEXUS,LM 300,2500,2024,28500.0
264,LEXUS,LM 350,2500,2026,35000.0
265,LEXUS,LM 350,2500,2025,33000.0
266,LEXUS,LM 350,2500,2024,30000.0
267,LEXUS,LM 500,2400,2026,35000.0
268,LEXUS,LM 500,2400,2025,33000.0
269,LEXUS,LM 500,2400,2024,30000.0
270,LEXUS,RX 300,2000,2026,16700.0
271,LEXUS,RX 300,2000,2025,16500.0
272,LEXUS,RX 300,2000,2024,16000.0
273,LEXUS,RX 350,2400,2026,23000.0
274,LEXUS,RX 350,2400,2025,16700.0
275,LEXUS,RX 350,2400,2024,16000.0
276,LEXUS,RX 350,2500,2026,27000.0
277,LEXUS,RX 350,2500,2025,26000.0
278,LEXUS,RX 350,2500,2024,25000.0
279,LEXUS,RX 450,3500,2026,31000.0
280,LEXUS,RX 450,3500,2025,29000.0
281,LEXUS,RX 450,3500,2024,27000.0
282,LEXUS,RX500h,2400,2026,30732.0
283,LEXUS,RX500h,2400,2025,29700.0
284,LEXUS,RX500h,2400,2024,27000.0
285,LEXUS,GX 550,3400,2026,38000.0
286,LEXUS,GX 550,3400,2025,36000.0
287,LEXUS,GX 550,3400,2024,34000.0
288,LEXUS,LC500,5000,2026,64700.0
289,LEXUS,LC500,5000,2025,55455.0
290,LEXUS,LC500,5000,2024,53000.0
291,LEXUS,LS 500,3500,2026,40150.0
292,LEXUS,LS 500,3500,2025,37500.0
293,LEXUS,LS 500,3500,2024,35000.0
294,LEXUS,LX 600,3500,2026,42300.0
295,LEXUS,LX 600,3500,2025,42300.0
296,LEXUS,LX 600,3500,2024,40000.0
297,LEXUS,LX 700,3500,2026,42300.0
298,LEXUS,LX 700,3500,2025,41300.0
299,LEXUS,LX500 D,3300,2026,42300.0
300,LEXUS,LX500 D,3300,2025,41000.0
301,LEXUS,LX500 D,3300,2024,40000.0
302,LEXUS,TX 350,2400,2026,23000.0
303,LEXUS,TX 350,2400,2025,16700.0
304,LEXUS,TX 350,2400,2024,16000.0
305,LEXUS,TX 500,2400,2026,30732.0
306,LEXUS,TX 500,2400,2025,29700.0
307,LEXUS,TX 500,2400,2024,27000.0
308,LEXUS,TX 500,3500,2026,31000.0
309,LEXUS,TX 500,3500,2025,29000.0
310,LEXUS,TX 500,3500,2024,27000.0
311,LIN&CO,900,,2026,15000.0
312,LIN&CO,900,,2025,15000.0
313,MASERATI,LEVANTE MODENA,3000,2026,49000.0
314,MASERATI,LEVANTE MODENA,3000,2025,47000.0
315,MASERATI,LEVANTE MODENA,3000,2024,45000.0
316,MASERATI,MC20 TYP M240,3000,2026,121875.0
317,MASERATI,MC20 TYP M240,3000,2025,114584.0
318,MASERATI,MC20 TYP M240,3000,2024,110000.0
319,MERCEDES-BENZ,E 300,2000,2026,23000.0
320,MERCEDES-BENZ,E 300,2000,2025,22000.0
321,MERCEDES-BENZ,E300,2000,2024,21000.0
322,MERCEDES-BENZ,E 450,3000,2026,34000.0
323,MERCEDES-BENZ,E 450,3000,2025,32000.0
324,MERCEDES-BENZ,E 450,3000,2024,30000.0
325,MERCEDES-BENZ,GLC200,2000,2026,23000.0
326,MERCEDES-BENZ,GLC200,2000,2025,22000.0
327,MERCEDES-BENZ,GLC200,2000,2024,21000.0
328,MERCEDES-BENZ,GLC220,2000,2026,23000.0
329,MERCEDES-BENZ,GLC220,2000,2025,22000.0
330,MERCEDES-BENZ,GLC220,2000,2024,21000.0
331,MERCEDES-BENZ,GLC300,2000,2026,23000.0
332,MERCEDES-BENZ,GLC300,2000,2025,22000.0
333,MERCEDES-BENZ,GLC300,2000,2024,21000.0
334,MERCEDES-BENZ,AMG GLC 43,2000,2026,23000.0
335,MERCEDES-BENZ,AMG GLC 43,2000,2025,22000.0
336,MERCEDES-BENZ,AMG GLC 43,2000,2024,21000.0
337,MERCEDES-BENZ,GLE300,2000,2026,23000.0
338,MERCEDES-BENZ,GLE300,2000,2025,22000.0
339,MERCEDES-BENZ,GLE300,2000,2024,21000.0
340,MERCEDES-BENZ,GLE 350,2000,2026,23000.0
341,MERCEDES-BENZ,GLE 350,2000,2025,22000.0
342,MERCEDES-BENZ,GLE 350,2000,2024,21000.0
343,MERCEDES-BENZ,GLC260,2000,2026,23000.0
344,MERCEDES-BENZ,GLC260,2000,2025,22000.0
345,MERCEDES-BENZ,GLC260,2000,2024,21000.0
346,MERCEDES-BENZ,C260,1500,2026,10950.0
347,MERCEDES-BENZ,C260,1500,2025,10500.0
348,MERCEDES-BENZ,C260,1500,2024,10000.0
349,MERCEDES-BENZ,C43 AMG,2000,2026,23000.0
350,MERCEDES-BENZ,C43 AMG,2000,2025,22000.0
351,MERCEDES-BENZ,C43 AMG,2000,2024,21000.0
352,MERCEDES-BENZ,C63 AMG,2000,2026,39600.0
353,MERCEDES-BENZ,C63 AMG,2000,2025,38600.0
354,MERCEDES-BENZ,C63 AMG,2000,2024,36000.0
355,MERCEDES-BENZ,C63 AMG,4000,2026,42300.0
356,MERCEDES-BENZ,C63 AMG,4000,2025,41000.0
357,MERCEDES-BENZ,C63 AMG,4000,2024,39000.0
358,MERCEDES-BENZ,GT AMG,4000,2026,62500.0
359,MERCEDES-BENZ,GT AMG,4000,2025,60500.0
360,MERCEDES-BENZ,GT AMG,4000,2024,58000.0
361,MERCEDES-BENZ,GT AMG BLACK SERIES,4000,2026,187500.0
362,MERCEDES-BENZ,GT AMG BLACK SERIES,4000,2025,177500.0
363,MERCEDES-BENZ,GT AMG BLACK SERIES,4000,2024,170000.0
364,MERCEDES-BENZ,GLE 400D,3000,2026,34000.0
365,MERCEDES-BENZ,GLE 400D,3000,2025,32000.0
366,MERCEDES-BENZ,GLE 400D,3000,2024,30000.0
367,MERCEDES-BENZ,GLE 63 S,4000,2026,42300.0
368,MERCEDES-BENZ,GLE 63 S,4000,2025,41500.0
369,MERCEDES-BENZ,GLE 63 S,4000,2024,40500.0
370,MERCEDES-BENZ,GLS 400D,3000,2024,40000.0
371,MERCEDES-BENZ,AMG SL43,2000,2026,33000.0
372,MERCEDES-BENZ,AMG SL43,2000,2025,31000.0
373,MERCEDES-BENZ,AMG SL43,2000,2024,24000.0
374,MERCEDES-BENZ,AMG SL63,4000,2026,60000.0
375,MERCEDES-BENZ,AMG SL63,4000,2025,55000.0
376,MERCEDES-BENZ,AMG SL63,4000,2024,52000.0
377,MERCEDES-BENZ,AMG E 53,3000,2026,33800.0
378,MERCEDES-BENZ,AMG E 53,3000,2025,32800.0
379,MERCEDES-BENZ,AMG E 53,3000,2024,31000.0
380,MERCEDES-BENZ,AMG E63S,4000,2026,42300.0
381,MERCEDES-BENZ,AMG E63S,4000,2025,41500.0
382,MERCEDES-BENZ,AMG E63S,4000,2024,40500.0
383,MERCEDES-BENZ,AMG GT 43,3000,2026,50835.0
384,MERCEDES-BENZ,AMG GT 43,3000,2025,34000.0
385,MERCEDES-BENZ,AMG GT 43,3000,2024,32000.0
386,MERCEDES-BENZ,AMG CLS 53,3000,2026,38500.0
387,MERCEDES-BENZ,AMG CLS 53,3000,2025,34000.0
388,MERCEDES-BENZ,AMG CLS 53,3000,2024,32000.0
389,MERCEDES-BENZ,AMG GLS 63,4000,2026,62500.0
390,MERCEDES-BENZ,AMG GLS 63,4000,2025,58000.0
391,MERCEDES-BENZ,AMG GLS 63,4000,2024,55000.0
392,MERCEDES-BENZ,AMG GLS 63,3000,2026,62388.0
393,MERCEDES-BENZ,AMG GLS 63,3000,2025,48524.0
394,MERCEDES-BENZ,AMG GLS 63,3000,2024,45000.0
395,MERCEDES-BENZ,GLE 400,2000,2026,36970.0
396,MERCEDES-BENZ,GLE 400,2000,2025,35122.0
397,MERCEDES-BENZ,GLE 400,2000,2024,33000.0
398,MERCEDES-BENZ,GLE 450,3000,2026,34300.0
399,MERCEDES-BENZ,GLE 450,3000,2025,33300.0
400,MERCEDES-BENZ,GLE 450,3000,2024,31000.0
401,MERCEDES-BENZ,GLS 450,4500,2026,60000.0
402,MERCEDES-BENZ,GLS 580,4000,2026,42300.0
403,MERCEDES-BENZ,GLS 580,4000,2025,41500.0
404,MERCEDES-BENZ,GLS 580,4000,2024,40000.0
405,MERCEDES-BENZ,S 350,3000,2026,49448.0
406,MERCEDES-BENZ,S 350,3000,2025,43000.0
407,MERCEDES-BENZ,S 350,3000,2024,42000.0
408,MERCEDES-BENZ,GLE 53,3000,2026,42300.0
409,MERCEDES-BENZ,GLE 53,3000,2025,41500.0
410,MERCEDES-BENZ,GLE 53,3000,2024,40000.0
411,MERCEDES-BENZ,GLS 450,3000,2026,42300.0
412,MERCEDES-BENZ,GLS 450,3000,2025,41500.0
413,MERCEDES-BENZ,GLS 450,3000,2024,40000.0
414,MERCEDES-BENZ,S 400D,3000,2026,47917.0
415,MERCEDES-BENZ,S 400D,3000,2025,42300.0
416,MERCEDES-BENZ,S 400D,3000,2024,41000.0
417,MERCEDES-BENZ,S 450,3000,2026,42300.0
418,MERCEDES-BENZ,S 450,3000,2025,41500.0
419,MERCEDES-BENZ,S 450,3000,2024,40000.0
420,MERCEDES-BENZ,S 480,3000,2026,42300.0
421,MERCEDES-BENZ,S 480,3000,2025,41500.0
422,MERCEDES-BENZ,S 480,3000,2024,40000.0
423,MERCEDES-BENZ,S 500,3000,2026,59375.0
424,MERCEDES-BENZ,S 500,3000,2025,47831.0
425,MERCEDES-BENZ,S 500,3000,2024,45000.0
426,MERCEDES-BENZ,S 580,3000,2026,42300.0
427,MERCEDES-BENZ,S 580,3000,2025,41500.0
428,MERCEDES-BENZ,S 580,3000,2024,40000.0
429,MERCEDES-BENZ,S 580,4000,2026,42300.0
430,MERCEDES-BENZ,S 580,4000,2025,41500.0
431,MERCEDES-BENZ,S 580,4000,2024,40000.0
432,MERCEDES-BENZ,AMG G 63,4000,2026,71000.0
433,MERCEDES-BENZ,AMG G 63,4000,2025,70000.0
434,MERCEDES-BENZ,AMG G 63,4000,2024,68000.0
435,MERCEDES-BENZ,"G700,G800 Brabus и G63 4x4",4000,2026,84500.0
436,MERCEDES-BENZ,"G700,G800 Brabus и G63 4x4",4000,2025,82500.0
437,MERCEDES-BENZ,"G700,G800 Brabus и G63 4x4",4000,2024,80500.0
438,MERCEDES-BENZ,G900 Brabus,4000,2026,150000.0
439,MERCEDES-BENZ,G900 Brabus,4000,2025,140000.0
440,MERCEDES-BENZ,G900 Brabus,4000,2024,130000.0
441,MERCEDES-BENZ,G 400D,3000,2026,42300.0
442,MERCEDES-BENZ,G 400D,3000,2025,41500.0
443,MERCEDES-BENZ,G 400D,3000,2024,40000.0
444,MERCEDES-BENZ,G 450,3000,2026,65160.0
445,MERCEDES-BENZ,G 450,3000,2025,55455.0
446,MERCEDES-BENZ,G 450,3000,2024,53000.0
447,MERCEDES-BENZ,G 500,4000,2026,42300.0
448,MERCEDES-BENZ,G 500,4000,2025,41500.0
449,MERCEDES-BENZ,G 500,4000,2024,40000.0
450,MERCEDES-BENZ,G 500 AMG,4000,2026,42300.0
451,MERCEDES-BENZ,G 500 AMG,4000,2025,41500.0
452,MERCEDES-BENZ,G 500 AMG,4000,2024,40000.0
453,MERCEDES-BENZ,G 550,4000,2026,42300.0
454,MERCEDES-BENZ,G 550,4000,2025,41500.0
455,MERCEDES-BENZ,GLS 600 4MATIC MAYBACH,4000,2026,71000.0
456,MERCEDES-BENZ,GLS 600 4MATIC MAYBACH,4000,2025,70000.0
457,MERCEDES-BENZ,GLS 600 4MATIC MAYBACH,4000,2024,68000.0
458,MERCEDES-BENZ,S 580 MAYBACH,4000,2026,71000.0
459,MERCEDES-BENZ,S 580 MAYBACH,4000,2025,70000.0
460,MERCEDES-BENZ,S 580 MAYBACH,4000,2024,68000.0
461,MERCEDES-BENZ,S 680 MAYBACH,6000,2026,84500.0
462,MERCEDES-BENZ,S 680 MAYBACH,6000,2025,83500.0
463,MERCEDES-BENZ,S 680 MAYBACH,6000,2024,81000.0
464,MERCEDES-BENZ,S 63 AMG,4000,2026,64700.0
465,MERCEDES-BENZ,S 63 AMG,4000,2025,60500.0
466,MERCEDES-BENZ,S 63 AMG,4000,2024,58000.0
467,MERCEDES-BENZ,V 220 D V-CLASS,2200,2026,26573.0
468,MERCEDES-BENZ,V 220 D V-CLASS,2200,2025,23000.0
469,MERCEDES-BENZ,V 220 D V-CLASS,2200,2024,21000.0
470,MERCEDES-BENZ,V 250 D V-CLASS,2200,2026,32292.0
471,MERCEDES-BENZ,V 250 D V-CLASS,2200,2025,31250.0
472,MERCEDES-BENZ,V 250 D V-CLASS,2200,2024,29000.0
473,MERCEDES-BENZ,V 250 D V-CLASS,2000,2026,31250.0
474,MERCEDES-BENZ,V 250 D V-CLASS,2000,2025,29167.0
475,MERCEDES-BENZ,V 250 D V-CLASS,2000,2024,27000.0
476,MERCEDES-BENZ,V 250 V-CLASS,2000,2026,31250.0
477,MERCEDES-BENZ,V 250 V-CLASS,2000,2025,29167.0
478,MERCEDES-BENZ,V 250 V-CLASS,2000,2024,27000.0
479,MERCEDES-BENZ,V 300,2000,2026,31250.0
480,MERCEDES-BENZ,V 300,2000,2025,29167.0
481,MERCEDES-BENZ,V 300,2000,2024,27000.0
482,MERCEDES-BENZ,VITO 114,2200,2026,20000.0
483,MERCEDES-BENZ,VITO 114,2200,2025,18000.0
484,MERCEDES-BENZ,VITO 114,2200,2024,16800.0
485,MERCEDES-BENZ,VITO 119 CDI,2000,2026,23000.0
486,MERCEDES-BENZ,VITO 119 CDI,2000,2025,22000.0
487,MERCEDES-BENZ,VITO 119 CDI,2000,2024,21000.0
488,MERCEDES-BENZ,VITO 121,2000,2026,19000.0
489,MERCEDES-BENZ,VITO 121,2000,2025,15700.0
490,MERCEDES-BENZ,VITO 121,2000,2024,14600.0
491,MERCEDES-BENZ,VITO TOURER 110 CDI,2000,2026,22000.0
492,MERCEDES-BENZ,VITO TOURER 110 CDI,2000,2025,21000.0
493,MERCEDES-BENZ,VITO TOURER 110 CDI,2000,2024,19000.0
494,INFINITY,QX80,3500,2026,40000.0
495,INFINITY,QX80,3500,2025,38000.0
496,INFINITY,QX80,3500,2024,36000.0
497,ROLLS-ROYCE,CULLINAN,6800,2026,84500.0
498,ROLLS-ROYCE,CULLINAN,6800,2025,82500.0
499,ROLLS-ROYCE,CULLINAN,6800,2024,80500.0
500,ROLLS-ROYCE,CULLINAN BLACK BADGE,6800,2026,84500.0
501,ROLLS-ROYCE,CULLINAN BLACK BADGE,6800,2025,83500.0
502,ROLLS-ROYCE,CULLINAN BLACK BADGE,6800,2024,82500.0
503,ROLLS-ROYCE,DAWN,6600,2026,165000.0
504,ROLLS-ROYCE,DAWN,6600,2025,163000.0
505,ROLLS-ROYCE,DAWN,6600,2024,161000.0
506,ROLLS-ROYCE,GHOST,6800,2026,84500.0
507,ROLLS-ROYCE,GHOST,6800,2025,83500.0
508,ROLLS-ROYCE,GHOST,6800,2024,82500.0
509,ROLLS-ROYCE,GHOST BLACK BADGE,6800,2026,84500.0
510,ROLLS-ROYCE,GHOST BLACK BADGE,6800,2025,83500.0
511,ROLLS-ROYCE,GHOST BLACK BADGE,6800,2024,82500.0
512,ROLLS-ROYCE,GHOST EWB,6800,2026,84500.0
513,ROLLS-ROYCE,GHOST EWB,6800,2025,83500.0
514,ROLLS-ROYCE,GHOST EWB,6800,2024,82500.0
515,ROLLS-ROYCE,PHANTOM,6800,2026,169000.0
